,有效樣本數,平均數,標準差,最小值,最大值
給每一個學生機會和期待,60.0,3.6166666666666667,0.6661721329614916,2.0,5.0
創造學習的樂趣,44.0,3.5681818181818183,0.5454985887785668,3.0,5.0
給出有目的性的回饋,37.0,3.4594594594594597,0.6909974511367444,1.0,4.0
校準課程體驗和學習目標,59.0,3.440677966101695,0.5951292656070601,2.0,5.0
建立融合的學習氛圍,60.0,3.433333333333333,0.5928004971139373,2.0,5.0
掌握課程節奏,61.0,3.4262295081967213,0.6942385851526505,2.0,5.0
引導討論和對話,47.0,3.404255319148936,0.6480597955531541,1.0,4.0
維護公平合理的學習狀態,61.0,3.377049180327869,0.7109602526684012,2.0,5.0
激發學生對學習的主動性和責任感,42.0,3.3095238095238093,0.5174088932690605,2.0,4.0
善用提問的力量,50.0,3.3,0.7071067811865476,1.0,5.0
進行差異化和個人化處遇,40.0,3.3,0.5163977794943222,2.0,4.0
拉伸學生的思考和聲音,36.0,3.2777777777777777,0.7014723744122017,2.0,5.0
打造安心無畏的空間,58.0,3.2758620689655173,0.7901388607312956,2.0,5.0
力求課程嚴謹,40.0,3.275,0.6788942744621108,1.0,4.0
做好數據驅動的教學決定,38.0,3.236842105263158,0.7861713768987698,1.0,4.0
收集學習數據,59.0,3.2203389830508473,0.6450821014351983,1.0,4.0
設計差異化的課堂,44.0,3.1818181818181817,0.7240945355448551,1.0,5.0
拉高學生對內容的概念化理解,18.0,3.1666666666666665,0.6183469424008423,2.0,4.0
提供嚴謹的學習任務,57.0,3.1052631578947367,0.6730583323880571,1.0,4.0
