,有效樣本數,平均數,標準差,最小值,最大值
以正向溫暖進行溝通,26.0,4.076923076923077,0.8909804452658621,2.0,5.0
打造安心無畏的空間,28.0,3.9285714285714284,0.7163989902474133,3.0,5.0
維護公平合理的學習狀態,28.0,3.892857142857143,0.737326788914382,3.0,5.0
給每一個學生機會和期待,28.0,3.857142857142857,0.8034317926884929,2.0,5.0
學科核心概念與學科地圖的熟捻,28.0,3.857142857142857,0.8482786803738024,2.0,5.0
以生態哲學建立「人文關懷」的基礎,28.0,3.8214285714285716,0.9048663264720755,1.0,5.0
建立融合的學習氛圍,27.0,3.7777777777777777,0.8006407690254357,3.0,5.0
掌握課程節奏與教學方法,28.0,3.75,0.5853140973807077,3.0,5.0
培養學生多元觀點,28.0,3.642857142857143,0.9114207758701962,2.0,5.0
校準課程體驗和學習目標,28.0,3.642857142857143,0.6784669927988098,2.0,5.0
保持情緒穩定,28.0,3.607142857142857,1.1001442906807546,1.0,5.0
創造學習的樂趣,28.0,3.607142857142857,0.5669467095138409,3.0,5.0
能有計畫的夯實學生基礎知識能力,28.0,3.5714285714285716,0.8789122666607702,2.0,5.0
包容差異,27.0,3.5185185185185186,0.8931521694094449,2.0,5.0
培養學生主動積極性,28.0,3.5,0.5773502691896257,2.0,4.0
主動積極,28.0,3.4642857142857144,0.8380817098475257,2.0,5.0
進行差異化和個人化處遇,28.0,3.4285714285714284,0.6341264874742278,2.0,5.0
依照學生程度擬定教學計畫,28.0,3.4285714285714284,1.168366109179552,1.0,5.0
力求課程嚴謹,28.0,3.392857142857143,0.6288900106557946,2.0,4.0
能蒐集學習數據，驅動教學改變,28.0,3.25,0.700528900717694,2.0,5.0
培養成長心態,28.0,3.2142857142857144,0.9172076325837248,1.0,5.0
